host_response_time,host_response_rate,host_acceptance_rate,host_identity_verified,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,price,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,reviews_per_month
N/A,N/A,1,f,Entire rental unit,Entire home/apt,6,2 baths,2,3,4230,,,,,,,,f,
within an hour,0.9,1,t,Entire loft,Entire home/apt,2,1 bath,1,2,570,4.75,4.92,4.75,5,4.83,5,4.67,t,0.43
N/A,N/A,N/A,f,Entire rental unit,Entire home/apt,4,2 baths,4,,630,,,,,,,,f,
within a few hours,0.9,1,t,Entire rental unit,Entire home/apt,2,1 bath,1,1,450,4.79,4.89,4.79,4.79,4.95,4.53,4.68,t,0.68
within an hour,1,0.96,t,Entire serviced apartment,Entire home/apt,4,3 baths,2,2,975,,,,,,,,f,
N/A,N/A,1,f,Entire rental unit,Entire home/apt,6,2 baths,2,3,4230,,,,,,,,f,
within an hour,1,0.96,t,Entire rental unit,Entire home/apt,6,2 baths,2,3,1095,4.97,4.97,4.77,4.92,4.97,5,4.97,f,1.46
within a few hours,1,1,t,Entire guest suite,Entire home/apt,2,1 bath,1,3,540,5,5,5,5,5,5,5,f,0.09
within an hour,1,0.98,t,Private room in hut,Private room,2,1 private bath,1,1,1100,4.89,4.89,4.89,4.8,4.97,4.79,4.82,f,2.18
N/A,N/A,1,f,Entire rental unit,Entire home/apt,4,1 bath,1,2,3248,2,3,1,4,4,5,1,f,0.24
N/A,N/A,1,f,Entire rental unit,Entire home/apt,4,1 bath,1,2,3248,,,,,,,,f,
within an hour,1,0.97,t,Private room in home,Private room,1,1.5 baths,1,1,363,4.92,4.92,4.83,4.75,4.92,5,4.83,f,0.67
within an hour,1,0.98,t,Entire rental unit,Entire home/apt,2,1 bath,1,1,598,4.7,4.65,4.49,4.86,4.86,4.93,4.51,f,1.52
N/A,N/A,1,f,Entire rental unit,Entire home/apt,4,1 bath,1,2,3248,5,5,5,5,5,5,5,f,0.06
N/A,N/A,1,f,Entire rental unit,Entire home/apt,4,1 bath,1,2,2493,,,,,,,,f,
N/A,N/A,1,f,Entire rental unit,Entire home/apt,4,1 bath,1,2,2493,,,,,,,,f,
within an hour,1,1,t,Entire rental unit,Entire home/apt,5,2.5 baths,2,3,2632,4.82,4.84,4.92,4.89,4.8,4.99,4.79,f,3.1
within an hour,1,0.97,t,Private room in home,Private room,1,3.5 shared baths,1,1,340,5,5,5,5,5,5,5,f,0.18
N/A,N/A,N/A,f,Private room in bed and breakfast,Private room,1,1 shared bath,1,1,400,,,,,,,,f,
N/A,N/A,1,f,Entire rental unit,Entire home/apt,4,1 bath,1,2,2493,,,,,,,,f,
N/A,N/A,1,f,Entire rental unit,Entire home/apt,4,1 bath,1,2,2493,5,5,5,5,5,5,5,f,0.1
within an hour,0.99,0.99,t,Entire rental unit,Entire home/apt,6,2 baths,3,3,2899,4.88,4.92,4.92,5,5,4.98,4.77,t,1.73
within an hour,1,1,t,Private room in loft,Private room,2,1 private bath,1,1,510,4.84,4.82,4.98,4.84,4.95,4.52,4.8,f,2.32
within an hour,0.97,0.92,t,Entire home,Entire home/apt,12,5.5 baths,5,7,8376,4.98,5,4.95,4.88,5,4.95,4.85,f,1.39
within an hour,0.99,0.99,t,Entire rental unit,Entire home/apt,2,2 baths,2,2,2855,5,5,5,5,5,5,4.78,t,0.34
N/A,N/A,N/A,t,Private room in home,Private room,1,1 shared bath,1,1,300,,,,,,,,t,
within an hour,0.8,0.91,t,Room in hotel,Private room,2,1 private bath,1,1,650,4.14,4.57,4.57,4.71,4.57,4.43,4,f,0.26
within an hour,1,1,t,Entire loft,Entire home/apt,2,1 bath,1,1,1011,4.86,4.93,4.86,4.9,4.93,4.93,4.86,t,1.06
N/A,N/A,1,f,Entire rental unit,Entire home/apt,4,1 bath,1,2,2493,,,,,,,,f,
N/A,N/A,1,f,Entire rental unit,Entire home/apt,4,1 bath,1,2,2493,,,,,,,,f,
N/A,N/A,0,f,Entire rental unit,Entire home/apt,4,1 bath,2,2,1350,,,,,,,,t,
N/A,N/A,1,f,Private room in rental unit,Private room,2,1 shared bath,1,1,1737,,,,,,,,f,
within an hour,1,0.99,t,Entire condo,Entire home/apt,2,2.5 baths,1,1,1349,4.92,4.83,4.88,4.67,4.96,5,4.88,f,0.85
N/A,N/A,1,f,Private room in rental unit,Private room,2,1 private bath,1,1,1737,4,5,5,5,5,5,5,f,0.06
within a few hours,1,0.98,t,Entire rental unit,Entire home/apt,4,1 bath,1,2,2051,4.93,4.93,4.99,4.98,4.96,4.97,4.9,f,3.41
within an hour,1,0.75,f,Entire condo,Entire home/apt,2,1 bath,1,1,1150,4.8,5,4.6,5,5,5,4.8,f,0.35
N/A,N/A,1,f,Private room in rental unit,Private room,2,1 private bath,1,1,1737,,,,,,,,f,
within an hour,0.97,0.92,t,Entire home,Entire home/apt,16,5.5 baths,5,8,16535,5,5,5,5,5,5,5,f,0.14
N/A,N/A,1,f,Private room in rental unit,Private room,2,1 private bath,1,1,1737,,,,,,,,f,
within an hour,0.99,0.99,t,Entire rental unit,Entire home/apt,4,1.5 baths,2,2,1697,4.83,4.91,4.94,4.89,4.89,5,4.74,t,1.83
N/A,N/A,1,f,Private room in rental unit,Private room,2,1 private bath,1,1,1737,5,5,5,5,5,5,5,f,0.06
within an hour,0.99,0.99,t,Entire rental unit,Entire home/apt,4,1.5 baths,2,2,1697,4.74,4.84,4.97,4.97,4.84,4.94,4.68,t,1.12
within an hour,1,1,t,Entire condo,Entire home/apt,3,1 bath,2,2,670,4.88,4.79,4.88,4.94,4.91,4.67,4.67,t,1.28
N/A,N/A,1,f,Private room in rental unit,Private room,2,1 private bath,1,1,1737,5,5,5,5,5,5,5,f,0.06
within a day,0.86,0.71,t,Shared room in home,Shared room,1,2.5 shared baths,1,1,201,5,5,5,5,5,5,5,f,0.33
within an hour,1,1,t,Shared room in hostel,Shared room,1,4 shared baths,1,1,326,4.75,4.81,4.6,4.78,4.78,4.9,4.67,t,2.26
within a few hours,1,0.89,t,Entire rental unit,Entire home/apt,4,2 baths,2,2,1643,4.76,4.83,4.79,5,4.79,4.86,4.66,f,1.17
within an hour,0.99,0.99,t,Entire rental unit,Entire home/apt,2,1 bath,1,1,1435,4.84,4.9,4.88,4.9,4.91,4.93,4.76,t,2.08
within a few hours,1,0.88,t,Entire rental unit,Entire home/apt,3,2 baths,2,2,959,4.88,4.91,4.91,5,4.88,4.94,4.82,f,1.21
within an hour,0.99,0.99,t,Entire rental unit,Entire home/apt,4,1 bath,2,2,1722,4.88,5,4.92,5,5,5,4.88,t,0.9
within an hour,0.99,0.99,t,Entire rental unit,Entire home/apt,2,1 bath,1,1,1877,4.77,4.89,4.92,4.84,4.94,4.96,4.62,f,2.85
within an hour,0.99,0.99,t,Entire rental unit,Entire home/apt,2,1 bath,1,1,1335,4.75,4.77,4.91,4.89,4.81,4.98,4.68,t,2.04
within a few hours,0.97,0.87,t,Private room in home,Private room,2,1 private bath,1,1,466,4.92,4.8,4.85,4.93,4.88,4.95,4.88,f,2.16
within an hour,1,1,t,Entire rental unit,Entire home/apt,4,2 baths,2,2,1421,4.76,4.77,4.78,4.86,4.81,4.94,4.74,f,2.96
within an hour,1,0.78,t,Entire rental unit,Entire home/apt,3,2 baths,2,2,2571,5,5,5,5,5,5,4.71,f,0.31
N/A,N/A,N/A,t,Private room in home,Private room,2,1 private bath,1,1,990,4.75,4.85,4.91,4.79,4.85,4.73,4.75,t,2.91
within an hour,0.99,1,t,Entire rental unit,Entire home/apt,5,2 baths,2,4,1472,4.96,4.92,4.85,4.88,4.81,5,4.81,t,4.02
within an hour,1,0.99,t,Entire rental unit,Entire home/apt,7,2 baths,2,5,1035,4.83,4.87,4.91,4.74,4.96,4.87,4.96,t,0.83
